CSAFP,CBSAFP,METDIVFP,GEOID,NAME,NAMELSAD,LSAD,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
348,31080,11244,3108011244,"Anaheim-Santa Ana-Irvine, CA","Anaheim-Santa Ana-Irvine, CA Metro Division",M3,G3120,2047702298,407606601,+33.6756872,-117.7772068
148,14460,14454,1446014454,"Boston, MA","Boston, MA Metro Division",M3,G3120,2883054605,1410718316,+42.0625498,-070.8754261
148,14460,15764,1446015764,"Cambridge-Newton-Framingham, MA","Cambridge-Newton-Framingham, MA Metro Division",M3,G3120,3393216603,946193008,+42.5637040,-071.1285117
428,37980,15804,3798015804,"Camden, NJ","Camden, NJ Metro Division",M3,G3120,3476319960,109161766,+39.8102361,-074.8237568
176,16980,16974,1698016974,"Chicago-Naperville-Arlington Heights, IL","Chicago-Naperville-Arlington Heights, IL Metro Division",M3,G3120,8938053106,1898204255,+41.7772599,-088.0074746
206,19100,19124,1910019124,"Dallas-Plano-Irving, TX","Dallas-Plano-Irving, TX Metro Division",M3,G3120,13666598156,676293295,+32.8745220,-096.6133896
220,19820,19804,1982019804,"Detroit-Dearborn-Livonia, MI","Detroit-Dearborn-Livonia, MI Metro Division",M3,G3120,1585112017,157118555,+42.2846636,-083.2619533
408,35620,20524,3562020524,"Dutchess County-Putnam County, NY","Dutchess County-Putnam County, NY Metro Division",M3,G3120,2657182352,118239082,+41.6862015,-073.7455209
176,16980,20994,1698020994,"Elgin, IL","Elgin, IL Metro Division",M3,G3120,2982409481,19344240,+41.9177317,-088.6142937
370,33100,22744,3310022744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metro Division",M3,G3120,3126001968,300067051,+26.1935353,-080.4766834
206,19100,23104,1910023104,"Fort Worth-Arlington, TX","Fort Worth-Arlington, TX Metro Division",M3,G3120,10368847733,245415700,+32.7379684,-097.5745086
176,16980,23844,1698023844,"Gary, IN","Gary, IN Metro Division",M3,G3120,4864869347,608500368,+41.2728336,-087.2484658
176,16980,29404,1698029404,"Lake County-Kenosha County, IL-WI","Lake County-Kenosha County, IL-WI Metro Division",M3,G3120,1854154953,3642878756,+42.3264354,-087.4360331
348,31080,31084,3108031084,"Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Glendale, CA Metro Division",M3,G3120,10510651024,1794730436,+34.1963983,-118.2618616
370,33100,33124,3310033124,"Miami-Miami Beach-Kendall, FL","Miami-Miami Beach-Kendall, FL Metro Division",M3,G3120,4917514829,1379208315,+25.6105796,-080.4991365
428,37980,33874,3798033874,"Montgomery County-Bucks County-Chester County, PA","Montgomery County-Bucks County-Chester County, PA Metro Division",M3,G3120,4760223227,78633313,+40.1554977,-075.4351676
408,35620,35004,3562035004,"Nassau County-Suffolk County, NY","Nassau County-Suffolk County, NY Metro Division",M3,G3120,3099083969,4221783072,+40.9057199,-072.8348299
408,35620,35084,3562035084,"Newark, NJ-PA","Newark, NJ-PA Metro Division",M3,G3120,6430520254,202692552,+40.8585805,-074.5474268
408,35620,35614,3562035614,"New York-Jersey City-White Plains, NY-NJ","New York-Jersey City-White Plains, NY-NJ Metro Division",M3,G3120,9296062887,2142603862,+40.5541409,-074.1235147
488,41860,36084,4186036084,"Oakland-Hayward-Berkeley, CA","Oakland-Hayward-Berkeley, CA Metro Division",M3,G3120,3786173605,422799144,+37.7848872,-121.9325776
428,37980,37964,3798037964,"Philadelphia, PA","Philadelphia, PA Metro Division",M3,G3120,823746448,39523360,+39.9563653,-075.2863545
148,14460,40484,1446040484,"Rockingham County-Strafford County, NH","Rockingham County-Strafford County, NH Metro Division",M3,G3120,2752075962,298494281,+43.0866384,-071.0697777
488,41860,41884,4186041884,"San Francisco-Redwood City-South San Francisco, CA","San Francisco-Redwood City-South San Francisco, CA Metro Division",M3,G3120,1283114648,1236548728,+37.5133174,-122.4365681
488,41860,42034,4186042034,"San Rafael, CA","San Rafael, CA Metro Division",M3,G3120,1348061297,796944835,+38.0518169,-122.7459738
500,42660,42644,4266042644,"Seattle-Bellevue-Everett, WA","Seattle-Bellevue-Everett, WA Metro Division",M3,G3120,10883559183,779708602,+47.7501904,-121.7732683
548,47900,43524,4790043524,"Silver Spring-Frederick-Rockville, MD","Silver Spring-Frederick-Rockville, MD Metro Division",M3,G3120,2987439348,54036995,+39.3321155,-077.3162118
500,42660,45104,4266045104,"Tacoma-Lakewood, WA","Tacoma-Lakewood, WA Metro Division",M3,G3120,4321389830,354692944,+47.0514152,-122.1532418
220,19820,47664,1982047664,"Warren-Troy-Farmington Hills, MI","Warren-Troy-Farmington Hills, MI Metro Division",M3,G3120,8487611919,740252608,+42.6604518,-083.3842103
548,47900,47894,4790047894,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division",M3,G3120,13191350964,1069320373,+38.7110726,-077.4752783
370,33100,48424,3310048424,"West Palm Beach-Boca Raton-Delray Beach, FL","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division",M3,G3120,5101999314,1070455000,+26.6491240,-080.4483739
428,37980,48864,3798048864,"Wilmington, DE-MD-NJ","Wilmington, DE-MD-NJ Metro Division",M3,G3120,2860475462,466151348,+39.5724235,-075.6592147
