CNECTAFP,NECTAFP,NCTADVFP,GEOID,NAME,NAMELSAD,LSAD,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
715,71650,71654,7165071654,"Boston-Cambridge-Newton, MA","Boston-Cambridge-Newton, MA NECTA Division",M7,G3220,3668133249,712987142,+42.2933266,-071.0181929
715,71650,72104,7165072104,"Brockton-Bridgewater-Easton, MA","Brockton-Bridgewater-Easton, MA NECTA Division",M7,G3220,352799175,8831197,+42.0216172,-071.0267170
715,71650,73104,7165073104,"Framingham, MA","Framingham, MA NECTA Division",M7,G3220,532516314,24039093,+42.2761738,-071.4822008
715,71650,73604,7165073604,"Haverhill-Newburyport-Amesbury Town, MA-NH","Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Division",M7,G3220,702086333,40447613,+42.8671722,-071.0254982
715,71650,74204,7165074204,"Lawrence-Methuen Town-Salem, MA-NH","Lawrence-Methuen Town-Salem, MA-NH NECTA Division",M7,G3220,207735751,9917120,+42.7282758,-071.1630701
715,71650,74804,7165074804,"Lowell-Billerica-Chelmsford, MA-NH","Lowell-Billerica-Chelmsford, MA-NH NECTA Division",M7,G3220,863143106,27403003,+42.6141693,-071.4837821
715,71650,74854,7165074854,"Lynn-Saugus-Marblehead, MA","Lynn-Saugus-Marblehead, MA NECTA Division",M7,G3220,77689906,96089900,+42.4680592,-070.8912602
715,71650,75404,7165075404,"Nashua, NH-MA","Nashua, NH-MA NECTA Division",M7,G3220,1395998801,22946536,+42.8293541,-071.5595584
715,71650,76524,7165076524,"Peabody-Salem-Beverly, MA","Peabody-Salem-Beverly, MA NECTA Division",M7,G3220,136907896,49194354,+42.5456237,-070.8935787
715,71650,78254,7165078254,"Taunton-Middleborough-Norton, MA","Taunton-Middleborough-Norton, MA NECTA Division",M7,G3220,777615996,49271822,+41.8624856,-071.0116902
