CSAFP,GEOID,NAME,NAMELSAD,LSAD,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
444,444,"Pueblo-Cañon City, CO","Pueblo-Cañon City, CO CSA",M0,G3100,10150754053,32330186,+38.2835543,-104.8591613
446,446,"Pullman-Moscow, WA-ID","Pullman-Moscow, WA-ID CSA",M0,G3100,8378911352,50651586,+46.8631023,-117.2489510
427,427,"Peoria-Canton, IL","Peoria-Canton, IL CSA",M0,G3100,8633506127,174015942,+40.7088861,-089.6974651
448,448,"Quincy-Hannibal, IL-MO","Quincy-Hannibal, IL-MO CSA",M0,G3100,5871379935,112196663,+39.8806828,-091.4602348
450,450,"Raleigh-Durham-Chapel Hill, NC","Raleigh-Durham-Chapel Hill, NC CSA",M0,G3100,14270829773,301833048,+35.8617752,-078.7600076
428,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",M0,G3100,19000680102,3025796241,+39.7358038,-075.2920685
452,452,"Rapid City-Spearfish, SD","Rapid City-Spearfish, SD CSA",M0,G3100,22286115762,56768275,+44.2198780,-103.0115843
454,454,"Redding-Red Bluff, CA","Redding-Red Bluff, CA CSA",M0,G3100,17416458866,220247250,+40.4866607,-122.1278347
430,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV","Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",M0,G3100,18250784153,218293822,+40.4870610,-079.8421993
434,434,"Ponce-Coamo-Santa Isabel, PR","Ponce-Coamo-Santa Isabel, PR CSA",M0,G3100,1505397535,669530545,+18.0238071,-066.6274297
438,438,"Portland-Lewiston-South Portland, ME","Portland-Lewiston-South Portland, ME CSA",M0,G3100,6600394052,2087265825,+43.7286471,-070.3839894
440,440,"Portland-Vancouver-Salem, OR-WA","Portland-Vancouver-Salem, OR-WA CSA",M0,G3100,32920979690,516801374,+45.2872037,-122.6242062
456,456,"Reno-Carson City-Fernley, NV","Reno-Carson City-Fernley, NV CSA",M0,G3100,24400074685,787524934,+40.5007953,-119.7311608
458,458,"Richmond-Connersville, IN","Richmond-Connersville, IN CSA",M0,G3100,1597410552,7098658,+39.7858342,-085.0620852
462,462,"Rochester-Austin, MN","Rochester-Austin, MN CSA",M0,G3100,8257744599,75933163,+43.8901930,-092.4247444
464,464,"Rochester-Batavia-Seneca Falls, NY","Rochester-Batavia-Seneca Falls, NY CSA",M0,G3100,10574679856,5305835324,+43.1128618,-077.5353526
