CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
336,40080,40080,"Richmond-Berea, KY","Richmond-Berea, KY Micro Area",M2,2,G3110,1952453473,19442078,+37.5716804,-084.2962641
454,39780,39780,"Red Bluff, CA","Red Bluff, CA Micro Area",M2,2,G3110,7639716445,32276063,+40.1261561,-122.2322757
454,39820,39820,"Redding, CA","Redding, CA Metro Area",M1,1,G3110,9778188572,186530168,+40.7605142,-122.0435556
456,39900,39900,"Reno, NV","Reno, NV Metro Area",M1,1,G3110,17004051224,623033216,+40.5007953,-119.7311608
348,40140,40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area",M1,1,G3110,70612017093,374752982,+34.5375344,-116.1309212
292,39940,39940,"Rexburg, ID","Rexburg, ID Micro Area",M2,2,G3110,6042413803,93681273,+44.1427534,-111.5081067
,40540,40540,"Rock Springs, WY","Rock Springs, WY Micro Area",M2,2,G3110,27005056306,166887297,+41.6603282,-108.8756774
,40180,40180,"Riverton, WY","Riverton, WY Micro Area",M2,2,G3110,23786090581,212125873,+43.0548310,-108.6089349
452,39660,39660,"Rapid City, SD","Rapid City, SD Metro Area",M1,1,G3110,20213700213,56143347,+44.1951082,-102.9166120
365,40100,40100,"Rio Grande City, TX","Rio Grande City, TX Micro Area",M2,2,G3110,3168016109,15346370,+26.5309027,-098.7402346
154,39700,39700,"Raymondville, TX","Raymondville, TX Micro Area",M2,2,G3110,1529529800,501714702,+26.4803815,-097.5832561
378,39860,39860,"Red Wing, MN","Red Wing, MN Micro Area",M2,2,G3110,1960200377,61025248,+44.4061779,-092.7160003
462,40340,40340,"Rochester, MN","Rochester, MN Metro Area",M1,1,G3110,6415950960,74793849,+43.9499166,-092.3356986
466,40300,40300,"Rochelle, IL","Rochelle, IL Micro Area",M2,2,G3110,1964706942,11425029,+42.0418840,-089.3201764
466,40420,40420,"Rockford, IL","Rockford, IL Metro Area",M1,1,G3110,2056847303,18446904,+42.3311830,-089.0429139
458,39980,39980,"Richmond, IN","Richmond, IN Micro Area",M2,2,G3110,1040508997,6732251,+39.8630908,-085.0067351
,43660,43660,"Snyder, TX","Snyder, TX Micro Area",M2,2,G3110,2345090493,5436958,+32.7443531,-100.9133465
,40780,40780,"Russellville, AR","Russellville, AR Micro Area",M2,2,G3110,4513173241,96051278,+35.1995857,-093.2527625
273,43900,43900,"Spartanburg, SC","Spartanburg, SC Metro Area",M1,1,G3110,3424313941,34016289,+34.8346199,-081.8424008
566,41400,41400,"Salem, OH","Salem, OH Micro Area",M2,2,G3110,1377697743,7237745,+40.7700730,-080.7784550
450,41820,41820,"Sanford, NC","Sanford, NC Micro Area",M2,2,G3110,660335366,10582970,+35.4763365,-079.1721174
